shop_name,address,country,website,phone
GREEN MOUNTAIN SPORTS CARDS & GAMING,"159 PEARL ST, STE 6, ESSEX JUNCTION, VT 05452, USA",USA,https://greenmountainsportscardsandgaming.com/,(802) 857-5807
GREENTREE SPORTS CARDS,"1002 GREENTREE RD, PITTSBURGH, PA 15220, USA",USA,,(412) 937-0540
HALL OF FAME BASEBALL CARDS,"509 S MYRTLE AVE, MONROVIA, CA 91016, USA, hofbc.com",USA,,(626) 358-2448
HALL OF FAME CARDS INC.,"11325 SEVEN LOCKS RD, POTOMAC, MD 20854, USA",USA,https://www.facebook.com/HallOfFameCards,(301) 299-9201
"HEROES, INC","8919 W CERMACK ROAD, NORTH RIVERSIDE, IL 60546, USA",USA,https://www.facebook.com/HeroesSportsCardsInc,(708) 442-1926
HI5 CARDS AND COLLECTIBLES,"223 S PETE ELLIS DR #19, BLOOMINGTON, IN 47408, USA, HI5CARDSANDCOLLECTIBLES.COM",USA,,(812) 287-8120
HIDDEN GEM SPORTS COLLECTIBLES,"229 MAIN ST STE 5B, HACKETTSTOWN, NJ 07836, USA",USA,WWW.HIDDENGEMSPORTSNJ.COM,(908) 798-1840
HIDDEN GEMS CARD SHOP,"46882 DEQUINDRE RD, SHELBY TOWNSHIP, MI 48317, USA",USA,https://hiddengemscardshop.com/,(586) 563-3339
HIT KINGS SPORTS CARDS,"8263 BEECHMONT AVE, CINCINNATI, OH 45255, USA, hitkings.com",USA,,(513) 448-2139
HIT SEEKERS SPORTS CARDS,"2501 DIXIE HWY, FT MITCHELL, KY 41017, USA, Hobby Korea",USA,www.hitseekerscardbreaks.com,(859) 462-0627
HONEY HOLE COLLECTIBLES,"32123 TEMECULA PKWY UNIT C, TEMECULA, CA 92592, USA",USA,www.honeyholecollect.com,(951) 401-2019
HOODY'S COLLECTIBLES,"61334 S HWY 97, BEND, OR 97702, USA, hoodys.us",USA,,(541) 388-6881
HOODY'S COLLECTIBLES,"8602 SW HALL BLVD, BEAVERTON, OR 97008, USA, HOODYS.US",USA,,(503) 747-4076
HOOKERS SPORTSCARDS,"293 WEST 7TH, EUGENE, OR 97401, USA",USA,,(541) 485-3414
HOOTERVILLE SPORTS CARDS,"5102 PLEASANT AVE, FAIRFIELD, OH 45014, USA, HOOTERVILLESPORTSCARDS.COM",USA,,(513) 737-9772
HOT CORNER SPORTS CARDS,"6750 E MAIN ST #112, MESA, AZ 85205, USA, hotcornersportscards.com, HotBox",USA,,(480) 396-0442
HOUSTON SPORTS CONNECTION,"12280 WESTHEIMER #12B, HOUSTON, TX 77077, USA",USA,www.houstonsportsconnection.net,(281) 589-9600
IGNITION SPORTS CARDS,"412 COLLEGE ROAD SITE 57, WILMINGTON, NC 28403, USA, Il Covo del Nerd, Viale Michelangelo 133 - 71121 Foggia, Il Covo del Nerd",USA,https://www.ignitionsportscards.com/ | https://www.ilcovodelnerd.com/,(910) 399-7853
IMPACT SPORTS CARDS,"416 S 8TH ST, COLORADO SPRINGS, CO 80905, USA",USA,WWW.IMPACTSPORTSCARDS.COM,(719) 344-9973
INDIANA SPORTSCARD GUYS,"406 W 4TH ST, MILFORD, IN 46542, USA, INDIANASPORTSCARDGUYS.COM",USA,,(574) 535-3232
INDY CARD EXCHANGE,"7035 E. 96TH STREET, SUITE P, INDIANAPOLIS, IN 46250, USA, indycardexchange.com",USA,,(317) 254-8681
INSTANT REPLAY SPORTS CARDS,"633 N HIGHWAY 231, PANAMA CITY, FL 32405, USA",USA,www.instantreplaysportscards.com,(850) 257-5484
J&R Cards,"42 Cushing Street, Brunswick, ME 04011, USA",USA,http://www.facebook.com/JandRCards,(207) 607-3643
JAWBREAKERS CARD SHOP,"7770 AUBURN ROAD, UTICA, MI 48317, USA",USA,,(586) 799-7222
JAY'S CD & HOBBY,"3315 SE 14TH ST, DES MOINES, IA 50320, USA",USA,www.JaysToysAndGames.com,(515) 287-4578
JERRY'S ROOKIE SHOP,"3021 W. STATE STREET, BOISE, ID 83703, USA",USA,https://www.facebook.com/jerrysrookieshop,(208) 338-3828
JIM & STEVE'S SPORTSCARDS,"2909 GRAND AVE, WAUKEGAN, IL 60085, USA",USA,WWW.JIMANDSTEVESCARDS.COM,(847) 244-1981
JIM'S SPORTS,"155 DORSET STREET, SOUTH BURLINGTON, VT 05403, USA",USA,https://www.facebook.com/profile.php?id=100054341209443,(802) 363-9219
JOHNNY FORD SPORTS,"3150 PLAINFIELD AVE NE SUITE E, GRAND RAPIDS, MI 49525, USA",USA,www.Johnnyfordsports.com,(616) 350-9560
JP SPORTS COLLECTIBLE INC.,"2323 Del Prado Blvd S, Suite #10, CAPE CORAL, FL 33990, USA",USA,,
JUMBO'S SPORTS COLLECTIBLES,"707 N CABLE RD, LIMA, OH 45805, USA, JUMBOSCARDS.COM",USA,,(567) 289-5272
JUMBO'S SPORTS COLLECTIBLES,"104 S MAIN ST, FINDLAY, OH 45840, USA, JUMBOSCARDS.COM",USA,,(567) 294-4018
JUNIATA CARDS,"1019 NORTH 4TH AVENUE, ALTOONA, PA 16601, USA, Junksplayground GmbH, Zum Schürmannsgraben 15, Moers, 47441",USA,https://junksplayground.de/,(814) 944-0810
K&L CARDS,"3100 MERIDIAN PARKE SUITE Z, GREEENWOOD, IN 46142, USA, kandlcards.com",USA,,(317) 883-2240
KC'S FINEST SPORTS CARDS AND MEMORABILIA LLC,"943 W LIBERTY DR, LIBERTY, MO 64068, USA, kcsfinestsportscards.com",USA,,(816) 429-7060
KC'S FINEST SPORTS CARDS AND MEMORABILIA LLC 002,"792 SW US-40 SUITE B, BLUE SPRINGS, MO 64015, USA, kcsfinestsportscards.com",USA,,(816) 224-3281
KCK COLLECTIBLES,"506 MAIN ST., MURPHYS, CA 95247, USA, kck collectibles.wordpress.com",USA,,(925) 336-6984
KEL'S SPORTS CARDS,"439 RAILROAD STREET, BRIDGEVILLE, PA 15071, USA",USA,www.kelscards.com,(412) 276-5080
KEN’S CARDS & COLLECTIBLES,"27 MILL ST, BERLIN, CT 06037, BERLIN, CONNECTICUT 06037, USA, Facebook.com/KensCards",USA,,(860) 832-8302
KENTUCKY CARD VAULT,"108 E 1ST ST, SMITHS GROVE, KY 42171, USA",USA,WWW.KENTUCKYCARDVAULT.COM,(270) 320-1634
KENTUCKY ROADSHOW SHOP,"369 ROMANY ROAD, LEXINGTON, KY 40502, USA, roadshowcards.com",USA,,(859) 523-1816
KERMS CARD SHOP,"24 S CARLISE ST, GREENCASTLE, PA 17225, USA",USA,,(717) 597-1161
KINEMS SPORTS CARDS,"3624 MAPLE STREET, ERIE, PA 16508, USA",USA,,(814) 864-2309
KK SPORTSCARDS,"10273 ULMERTON RD, LARGO, FL 33771, USA",USA,WWW.KKSPORTSCARDS.COM/,(727) 238-8283
KNT SPORTS CARDS & MEMORABILIA LLC,"287 S YONGE STREET, ORMOND BEACH, FL 32174, USA",USA,https://m.facebook.com/kntsports/,(386) 677-1318
KOLLECTIBLE KINGS,"82 FEATHERBED LANE, WINCHESTER, VA 22601, USA, kollectiblekings.com",USA,,(619) 630-9926
KRYPTONITE KOLLECTIBLES INC.,"1441 PLAINFIELD AVE. JANESVILLE WI 53545, JANESVILLE, WI 53545, USA",USA,www.kryptonitekollectibles.com,(608) 758-2100
LA SPORTS CARDS,"1922 WEST OLIVE AVE BURBANK CA 91504, BURBANK, CA 91506, USA, LASPORTSCARDS.NET",USA,,(818) 859-7800
LA SPORTS CARDS,"1700 W GLENOAKS BLVD STE G, GLENDALE CA 91201, GLENDALE, CA 91202, USA, LASPORTSCARDS.NET",USA,,(818) 484-7555
LAB 20 SPORTS CARDS,"16611 RUSSELL ST., ST. PAUL, VA 24283, USA",USA,www.lab20cards.com,(276) 608-1607
LAKE COUNTRY CARDS,"1380 PABST FARMS CIRCLE, STE 400, OCONOMOWOC, WI 53066, USA",USA,WWW.LAKECOUNTRYCARDS.COM,(262) 354-8029
LEBANON CANDY AND SPORTS CARDS,"40 E MULBERRY ST, LEBANON, OH 45036, USA",USA,www.cincitycollectibles.com,(513) 646-0473
LEFTY'S SPORTS MEMORABILIA LLC,"1859 EL CAMINO REAL, BURLINGAME, AR 94010, USA, leftyssportscards.com",USA,,(650) 697-2274
LEGACY SPORTS CARDS,"4235 S FORT APACHE SUITE 230, LAS VEGAS, NV 89147, USA",USA,https://m.facebook.com/LegacySportsCardsLV/,(702) 341-6526
LEGENDS SPORTS & GAMES,"3661 28TH ST SE, GRAND RAPIDS, MI 49512, USA",USA,www.legendsfanshop.com,(1616) 940-1676
LES'S SPORTS CARDS,"8317 MAIN STREET, BIRCH RUN, MI 48415, USA",USA,,(989) 624-6113
LEWTON'S SPORTS CARDS & COLLECTIBLES,"18 S. MAIN STREET, CLAWSON, MI 48017, USA",USA,,(248) 291-6265
LEWTON'S SPORTS CARDS AND COLLECTIBLES,"18 S. MAIN STREET, CLAWSON, MI 48017, USA",USA,https://www.facebook.com/Lewtonscards,(248) 291-6265
LOGANS SPORTS COLLECTIBLES,"124 PALMER PARK MALL, EASTON, PA 18040, USA",USA,,(610) 438-4544
LONG ISLAND SPORTS CARDS INC.,"1013 WILLIS AVE, ALBERTSON, NY 11507, USA, longislandsportscards.com",USA,,(516) 636-1013
LOUISVILLE SPORTS CARDS,"11519 SHELBYVILLE RD SUITE C, LOUISVILLE, KY 40243, USA, louisvillesportscards.com, Love Card, Love Card Sanlitun, SOHO Mall #1 103 (1st Floor) Chaoyang District, Beijing 100020",USA,,(502) 919-7088
LUCKIEST MAN SPORTS CARDS,"179 COLLEGE DR. STE. 14, ORANGE PARK, FL 32065, USA, Luckiestmansc.com",USA,,(904) 822-7822
LUCKY 7 CARDS AND COLLECTIBLES,"13945 N HWY 183 UNIT D-126, AUSTIN, TX 78717, USA",USA,www.lucky7cardshop.com,(512) 775-9294
LUCKY BOX SPORTS CARDS,"19905 W CATAWBA AVE, SUITE 106, CORNELIUS, NC 28031, USA",USA,,(712) 870-9039
LUCKY BREAKS SPORTS CARDS,"212 NORTHEAST 164TH AVENUE SUITE 22, VANCOUVER, WA 98684, USA, Luckybreaks.live",USA,,(360) 718-2578
M & M SPORTSCARDS & COLLECTIBLES,"3003 25TH ST, COLUMBUS, IN 47203, USA, MANDMSPORTSCARDSANDCOLLECTIBLES.COM",USA,,(812) 343-3352
M & S SPORTSCARDS,"623 NW MOCK AVE, BLUE SPRINGS, MO 64014, USA",USA,,(816) 295-5368
MACE MERCHANDISE CARD & COIN,"108 NORTH MAIN AVE, SCRANTON, PA 18504, USA",USA,www.facebook.com/macecoincard,(570) 346-6891
MAGIC CITY COLLECTIBLES,"2809 CENTRAL AVE, HOMEWOOD, AL 35209, USA",USA,WWW.MAGICCITYCOLLECTIBLES.COM,
MAJOR SPORTS CARDS & MEMORABILIA,"466 JERICHO TURNPIKE, MINEOLA, NY 11501, USA",USA,www.majormemorabilia.com,(516) 240-2415
MAMBA COLLECTIBLES LLC,"271 MONROE ST, MARTINSBURG, WV 25404, USA, mambacollectibles.com",USA,,(304) 885-1055
MARKMAN SPORTS CARDS,"3304 W ESPLANADE AVE N, METAIRIE, LA 70002, USA",USA,www.markmanbreakers.com,(504) 456-1010
MATT'S DUGOUT,"9180 FOREST HILL BLVD, WELLINGTON, FL 33411, USA",USA,WWW.MATTSDUGOUT.COM,(561) 235-0860
MATT'S SPORTSCARDS AND COMICS,"348 HAZARD AVE, ENFIELD, CT 06082, USA",USA,https://www.facebook.com/MattsCardsandComics/,(860) 741-2522
MATT'S SPORTSCARDS AND COMICS,"348 HAZARD AVE, ENFIELD, CT 06082, USA, cardandcomicshop.com",USA,,(860) 803-1965
MAUI SPORTS CARDS,"340 HANA HWY SUITE C, KAHULUI, HI 96732, USA, MauiSportsCards.com",USA,,(808) 227-6505
MAXIMUM SPORTS,"3401 DALE ROAD #151, MODESTO, CA 95256, USA",USA,www.Maximumsports.net,(209) 663-7929
MEDINA SPORTS CARDS,"110 WEST WASHINGTON STREET, MEDINA, OH 44256, USA",USA,www.medinasportscards.com,(330) 725-2273
MEELYPOPS SC,"9768 WARREN H ABERNATHY HWY STE 4, SPARTANBURG, SC 29301, USA",USA,WWW.SCMEELYPOPS.COM,(864) 577-5790
MICHIANA SPORTSCARDS,"12980 ADAMS RD, A2, GRANGER, IN 46530, USA, MICHIANASPORTSCARDS.COM",USA,,(574) 217-7410
MIDDLE GEORGIA SPORTSCARDS AND COLLECTIBLES,"1107 RUSSELL PARKWAY, WARNER ROBINS, GA 30188, USA",USA,Www.Facebook.com/group/middlegacardclub,(478) 972-2569
MIDWEST COLLECTABLES,"3451 N FAIRMOUNT ST., SUITE A, DAVENPORT, IA 52806, USA",USA,,(563) 823-1975
MIKE'S STADIUM SPORTSCARDS,"4032 S PARKER RD #4131, AURORA, CO 80014, USA",USA,www.mikesstadiumsportscards.com,(303) 699-9808
MILL CREEK SPORTS,"13616 BOTHELL EVERETT HWY, MILL CREEK, WA 98012, USA, millcreeksports.com",USA,,(425) 742-8500
MILLER SPORTS CARDS & COLLECTIBLES,"1245 N MISSION ST, MT PLEASANT, MI 48858, USA, MINT",USA,,(989) 263-6812
MINT MEMORABILIA,"808 S RAND ROAD, LAKE ZURICH, IL 60047, USA, MMBREAKS.COM",USA,,(224) 677-6183
Mintink Sports Cards AJAX,"1965 Salem Road, Unit 3, Ajax, ON Canada",Canada,,
Mintink Trading Cards,8555 Jane St. Unit 5&6 Vaughan ON Canada L4K 5N9,Canada,www.mintink.ca,416-827-9141
MITCH'S SPORTS CARDS & COLLECTIBLES,"11235 N CEDARBURG RD, MEQUON, WISCONSIN 53092, USA",USA,www.mitchsboxbreaks.org,(262) 302-4209
MITCH'S SPORTS CARDS AND COLLECTIBLES,"11235 N. CEDARBURG RD., MEQUON, WI 53092, USA",USA,www.mitchsboxbreaks.org,(262) 302-4209
MLB FLAGSHIP STORE,"1271 6TH AVE, NEW YORK, NY 10020, USA",USA,https://www.mlb.com/shop/nyc-retail-store,(332) 228-1040
MM7 SPORTSCARDS,"2308 N. BROADWAY ST., MOORE, OK 73160, USA",USA,www.mm7sportscards.com,(405) 658-2114
MN SPORTSCARDS,"4101 CEDAR STREET, MONTICELLO, MN 55362, USA",USA,https://www.facebook.com/profile.php?id=1000782201376563,(763) 295-0620
MN SPORTSCARDS,"4101 CEDAR STREET, MONTICELLO, MO 55362, USA",USA,,(762) 295-0620
MOJOBREAK INC.,"2060 DUANE AVE., SANTA CLARA, CA 95054, USA",USA,www.mojobreakshop.com,(408) 320-2269
MOMMA TRIED SPORTS CARDS,"5500 MILAN RD. SUITE 362, SANDUSKY, OH 44870, USA",USA,,(440) 370-3000
MONMOUTH CARDS,"1835 NJ-35, WALL, NJ 07719, USA, MONMOUTHCARDS.COM",USA,,(732) 800-0911
MONMOUTH CARDS,"739 NJ-18, EAST BRUNSWICK, NJ 08816, USA, MONMOUTHCARDS.COM",USA,,(732) 993-7002
MONTASY COMICS NYC,"431 5TH AVENUE, 2ND FLOOR, NEW YORK, NY 10016, USA, montasynyc.com",USA,,(212) 683-2018
MONTEREY BAY COLLECTORS LOUNGE,"469 PACIFIC ST, MONTEREY, CA 93940, USA",USA,,(831) 200-3942
MR. E'S SPORTS CARDS & COLLECTIBLES,"720 SOUTH STATE ST, OREM, UT 84058, USA",USA,,(801) 224-6677
MTECH CAVE,"826 NORTH 2ND STREET, STILWELL, OK 74960, USA",USA,https//www.mtechcave.com,(918) 218-2039
MVP SPORTS & GAMES CO,"50 REDWOOD DR, LANCASTER, PA 17603, USA, mvpsportsandgames.com",USA,,(717) 435-4964
MVP SPORTS CARDS AND COLLECTIBLES,"661 SEBASTIAN BLVD, SUITE H, SEBASTIAN, FL 32958, USA",USA,https://www.mvpsportscard.com/,(772) 918-4989
MVP SPORTSCARDS,"24881 ALICIA PKWY, STE J, LAGUNA HILLS, CA 92653, USA, mvpsportscardssocal.net",USA,,(949) 837-7830
MVP TRADING CARDS COMPANY,"8700 RESEDA BLVD SUITE 219, NORTHRIDGE, CA 91324, USA",USA,www.mvptradingcards.com,(818) 626-8727
MY EXTRA CARDS,"181 W MAIN STREET, HARRISON, MI 48625, USA, myextracards.com",USA,,(989) 429-0273
NASHCARDS,"300 PLEASANT GROVE ROAD, STE 340, MT. JULIET, TN 37122, USA, nashcards.com",USA,,(615) 470-5313
NASHCARDS MEMPHIS,"9020 US 64, STE 105, LAKELAND, TN 38002, USA, nashcards.com",USA,,(901) 425-3447
NASHCARDS PHILADELPHIA,"130 W. MAIN ST STE 116, TRAPPE, PA 19426, USA, nashcards.com",USA,,(484) 973-6587
NATIONAL BASEBALL HALL OF FAME,"25 MAIN ST, COOPERSTOWN, NY 13326, USA, shop.baseballhall.org",USA,,(877) 290-1300
NEIGHBORHOOD CARD SHOP,"312 N HAM LN, LODI, CA 95242, USA",USA,,(209) 263-7175
NEUHART CARDS,"820 SUNBURY RD SUITE 621, 820 SUNBURY ROAD, SUITE 621, DELAWARE, OH 43015, USA",USA,www.neuhartcards.com,(740) 417-4877
NEUHART CARDS,"820 SUNBURY ROAD SUITE 621, DELAWARE, OH 43015, USA, neuhartcards.com",USA,,(740) 417-4877
NEW CONCEPT SPORTS CARD AND HOBBY,"676 STOKES ROAD, MEDFORD, NJ 08055, MEDFORD, NJ 08055, USA",USA,www.newconcepthobbies.com,(609) 953-0404
NEW YORK ROADSHOW SHOP,"65 PONDFIELD ROAD, BRONXVILLE, NY 10708, USA, roadshowcards.com",USA,,(914) 881-1141
NICODEMUS CARDS & GAMES,"118 W MARKET ST, WARSAW, IN 46580, USA",USA,WWW.NICODEMUSENTERPRISES.COM,(574) 549-9945
NORCAL SPORTS CARDS,"1821 DOUGLAS BLVD, #C-4, ROSEVILLE, CA 95661, USA, norcalsportscards.com",USA,,(916) 358-9982
NORTH TOWN CARD VAULT,"2630 MAIN STREET #101, UNION GAP, WA 98903, USA",USA,www.northtowncardvault.com,(509) 452-2126
NORTHRIDGE SPORTS COLLECTIBLES,"9514 RESEDA BLVD UNIT 14, NORTHRIDGE, CA 91324, USA",USA,www.northridgesportscollectibles.com,(818) 886-5812
NORTHWEST SPORTSCARDS,"5510 6TH AVE S. STE A, TACOMA, WA 98406, USA",USA,www.nw-sportscards.com,(253) 564-9204
OHIO CARD EXCHANGE,"101 E. ALEX BELL ROAD, SUITE 160, CENTERVILLE, OH 45459, USA",USA,www.ohiocardexchange.com,(937) 999-4777
OHIO ESTATES COIN LLC,"2311 BROOKPARK ROAD, PARMA, OH 44134, USA, clevelandcoinandjewelry.com",USA,,(216) 749-7900
OMAHA SPORTS CARDS,"4857 S 137TH ST, OMAHA, NE 68137, USA, omahacards.com",USA,,(402) 614-9702
OMG COLLECTIBLES,"77622 COUNTRY CLUB DR STE J, PALM DESERT, CA 92211, USA",USA,WWW.OMGCOLLECTIBLES.COM,(509) 452-2126
OMNI COMICS AND CARDS,"681 SILAS DEANE HWY, WETHERSFIELD, CT 06109, USA, omnicomicscards.com",USA,,(860) 571-0138
ON DECK SPORTSCARDS,"875 OAK RD, STE 106, LAWRENCEVILLE, GA 30044, USA, ondecksportscards.com",USA,,(770) 985-1557
ORIGINAL COOPERSTOWN CONNECTION,"8555 SENECA TURNPIKE, NEW HARTFORD, NY 13413, USA, Cooperstown-Connection.com, Outland",USA,,(315) 724-9262
OVER THE FENCE,"35125 VINE STREET UNIT 1, EASTLAKE, OH 44095, USA",USA,https://linktr.ee/Overthefence216,(440) 953-2700
PAPAJAY CARDS,"10 ENTERPRISE DR SUITE A, ROHNERT PARK, CA 94928, USA",USA,https://www.papajaycards.com/,(707) 548-4730
PARADISE CARD BREAKS,"6551 LAS VEGAS BLVD S SUITE 145C, LAS VEGAS, NV 89119, USA, Paradisecardbreaks.com",USA,,(443) 642-1173
"PAULA'S SPORTS CARDS, ETC.","1231 WILDER AVE. #206, HONOLULU, HAWAII 96822, USA",USA,WWW.paulassportscards.com,(808) 533-4886
PCB HOBBY,"11939 PANAMA CITY BEACH PKWY, PANAMA CITY BEACH, FL 32407, USA",USA,https://pcbhobby.com,(850) 320-8388
PENINSULA SPORTS CARDS,"390 EL CAMINO REAL, SUITE H, BELMONT, CA 94002, USA, peninsulasportscards.com",USA,,(650) 595-5115
PHOENIX SPORTS CARDS,"5870 WEST THUNDERBIRD ROAD SUITE A2, GLENDALE, AZ 85306, USA, Pianeta Hobby, Via Ruggero Leoncavallo 15 - 20131 Milano, pianeta hobby, via ruggero leoncavallo 1, milano, 20131",USA,www.phxsportscards.com | https://www.pianetahobby.it/,(602) 548-1254
PIECE OF THE GAME,"1659 U.S. 9, WAPPINGERS FALLS, NY 12590, USA, Play & Collect",USA,https://shoppieceofthegame.com/,(855) 341-1350
POPS SPORTS CARDS & GAMING,"425 EASTERN AVE, SUITE 1, ESSEX, MD 21221, USA",USA,https://www.facebook.com/popssportscardsgaming/,443-969-2186
PREP 2 PRO SPORTS,"1019 S. 13TH ST, NORFOLK, NE 68701, USA",USA,www.prep2pro.com,(402) 371-3351
PRIMETIME SPORTS COLLECTIBES,"490 PROSPECT BLVD, FREDERICK, MD 21701, USA",USA,,(225) 772-5429
PULLING THE PROS SPORTS CARDS,"445 SW COAST HWY, NEWPORT, OR 97365, USA, Facebook.com/pullingthepros",USA,,(541) 351-8803
PULLWAX,"1950 NE 163RD STREET, NORTH MIAMI BEACH, FL 33162, USA, pullwax.com, PushDich",USA,,(786) 654-2484
R & D COLLECTIBLES LLC,"1507 SW 21ST STE 205, TOPEKA, KS 66604, USA",USA,https://r-and-d-collectibles.square.site/,(785) 233-2510
RANDY'S SPORTCARDS,"585 S WEST END BLVD #6, QUAKERTOWN, PA 18951, USA",USA,,(215) 536-7868
REAL SPORTSCARDS,"12233 CHAMPLIN DRIVE, CHAMPLIN, MN 55316, USA",USA,www.realsportscards.com,(763) 432-5869
"REAL SPORTSCARDS, WISCONSIN","324 E. MAIN ST, WAUPUN, WI 53963, USA",USA,www.realsportscards.com,(920) 345-1245
RED ROSE SPORTS CARDS,"126 S CENTERVILLE DR, LANCASTER, PA 17603, USA, redrosesportscards.com",USA,,(717) 617-2250
Replay Sports Cards,"115 E. PARK AVE SUITE C, CHARLOTTE, NC 28203, USA, onestopclt.com",USA,,(516) 304-6566
Replay Sports Cards,"100 PLAZA REAL S, STE G, BOCA RATON, FL 33432, USA",USA,WWW.ONESTOPCLT.COM,(704) 651-7362
RESTLESSCRAFT BREAKERS SPORTS AND GAMING,"235 JUNGERMANN ROAD, SUITE 108, SAINT PETERS, MO 63376, USA, restlesscraftbreakers.com",USA,,(636) 317-1410
RIGHT OFF THE BAT CARDS & COLLECTIBLES,"43 COURT SQ, WEST PLAINS, MO 65775, USA",USA,,(417) 293-7247
RIP VALLEY,"1014 N 2ND STREET, PHOENIX AZ 85004, PHOENIX, AZ 85004, USA, Ripvalley.com",USA,,(602) 612-3474
RIZO SPORTS & TCG,"400 BROADWAY, SANTA MONICA, CA 90401, USA",USA,WWW.RIZOSPORTSLLC.COM,(310) 713-1144
RJ DUKE SPORTS,"400 N CENTRAL EXPY STE 109, MCKINNEY, TX 75070, USA, RJDukeSports.com",USA,,(469) 885-1130
RK COLLECTIBLES,"2761 OAKDALE BLVD STE #3, CORALVILLE, IA 52241, USA",USA,www.rkcollectiblesiowa.com,(319) 626-2015
RL SPORTS CARDS,"645 S STATE COLLEGE BLVD UNIT #B, FULLERTON, CA 92831, USA, Roadshow Bogota Colombia",USA,www.RLSportsCards.com,(657) 445-2300
ROCHESTER SPORTS CARDS & MEMORABILIA,"407 S MAIN ST, ROCHESTER, MI 48307, USA",USA,http://facebook.com/rochestersportsandgamingcards,(248) 923-2424
ROCK’S DUGOUT,"3232 N. ROCK RD, WICHITA, KS 67226, USA, Rocksdugout.com",USA,,(316) 682-7902
ROSS CARDS & COLLECTIBLES,"267 N EL CAMINO REAL G, ENCINITAS, CA 92024, USA, ROSSCARDSCOLLECTIBLES.COM",USA,,(760) 704-8164
RP SPECIALTY SPORTSCARDS UNLIMITED,"19 WALL STREET, ROCKAWAY, NJ 07866, USA",USA,,(973) 627-0056
S&B SPORTS COLLECTIBLES,"206 MONTGOMERY MALL, NORTH WALES, PA 19454, USA",USA,www.sbsportspromotions.com,(215) 647-2994
S&B SPORTS COLLECTIBLES,"230 MONTGOMERY MALL DROVE NORTH, WALES, PA 19454, USA",USA,www.sbsportspromotions.com,(215) 647-2994
S&B SPORTS COLLECTIBLES,"1665 STATE HILL ROAD, WYOMISSING, PA 19610, USA",USA,www.sbsportspromotions.com,(610) 898-4317
SANTIAGO SPORTS,"419 ROUTE 34, MATAWAN, NJ 07747, USA, Santiagosportsnj.com",USA,,(732) 242-9528
SAPPY'S SPORTS CARDS,"3603 N JOESY LN, CARROLTON, TX 75007, USA, Sccards, Via Petrarca 21, Milano, (Cologno Monzese), 20093",USA,https://www.facebook.com/groups/triplecards/ | https://sccards.it/,(972) 395-9989
SCG HOBBY - ALTOONA,"3200 PLEASANT VALLEY BLVD, ALTOONA, PA 16602, USA, scghobby.com",USA,,(814) 201-2845
SCG HOBBY - INDIANA,"1450 OAKLAND AVE, INDIANA, PA 15701, USA, scghobby.com",USA,,(724) 349-1769
SCORE MORE SPORTS,"4944 MARTIN VIEW LANE, WINSTON SALEM, NC 27104, USA",USA,www.scoremorenow.com,(336) 602-2383
SCOTT'S COLLECTIBLES,"942 CLOVERLEAF PLAZA, KANNAPOLIS, NC 28083, USA",USA,www.facebook.com/scottscollectibles,(704) 784-2277
SD SPORTS CARDS,"12759 POWAY ROAD STE 108, POWAY, CA 92064, USA, SDSPORTCARDS.COM",USA,,(858) 999-2286
SEARCH AND RESCUE CARDS,"3344 PARTNER PL STE 3, LEXINGTON, KY 40503, USA",USA,WWW.SEARCHANDRESCUECARDS.COM,(859) 523-0055
SHELBY COUNTY COLLECTIBLES INC,"987 EAST ASH ST SUITE 116, PIQUA, OH 45356, USA",USA,www.facebook.com/sc.collectibles,(937) 773-0950
SHEP'S CARDS & COLLECTIBLES,"102 GLEN OAK BLVD, HENDERSONVILLE, TN 37075, USA",USA,,
"SHOEBOX-MEMORABILIA, INC.","345 N. MCLEAN BLVD., SOUTH ELGIN, IL 60177, USA",USA,,(847) 468-9500
"SHORTSTOPS SPORTS CARDS & GAMES, LLC","34294 US HWY 19 N, PALM HARBOR, FL 34684, USA",USA,www.shortstopscards.com,(727) 789-2273
SHOWTIME,"3415 S. MCCLINTOCK DR. #111, TEMPE, AZ 85283, USA, Fb.me/showtimetcg",USA,,(480) 820-2226
SHOWTIME SPORTS CARDS & COLLECTIBLES,"9365 PHILIPS HWY #106, JACKSONVILLE, FL 32256, USA",USA,https://www.facebook.com/ShowtimeSportsCardsofJax,(904) 527-8980
SILVER SLUGGER COINS & CARDS,"939 S 25TH EAST STE 105, AMMON, ID 83406, USA, facebook.com/silversluggercoins",USA,,(208) 497-0001
SIMMS SPORTS CARDS,"1316 BALTIMORE PIKE, BEL AIR, MD 21014, USA",USA,www.simmsbreaks.com,(410) 836-7979
SKYBOX COLLECTIBLES,"295 WESTPORT AVENUE, NORWALK, CT 06851, USA",USA,www.skyboxct.com,(203) 857-1778
SMP SPORTSCARDS,"1671 WEST NORTHWEST HIGHWAY, GRAPEVINE, TX 76135, USA, Soccer City Cards",USA,https://www.smpsportcards.com/,(817) 251-1752
"SOUTH BAY BASEBALL CARDS, INC.","1751 PACIFIC COSAT HWY., LOMITA, CA 90717, USA",USA,,(310) 530-5818
SOUTH BAY SPORTS CARDS,"566 SOUTH MURPHY AVE, SUNNYVALE, CA 94086, USA, southbaysportscards.com",USA,,(408) 530-8250
SOUTHERN CARDS,"1859 EUCLID AVENUE, BRISTOL, VA 24201, USA",USA,,(276) 669-4110
